depth,tempdepth,temp,EdZTilt,EdZRoll,EdZPitch,Ed0Tilt,Ed0Roll,Ed0Pitch
1.06094,1.41394,21.52479,3.577772,3.566888,-0.2795763,-2.87274,-1.887474,2.167225
1.065309,1.418309,21.51741,3.639591,3.63692,-0.1397877,-2.87274,-1.887474,2.167225
1.068989,1.421989,21.52523,3.566888,3.566888,0,-2.971295,-1.957407,2.23717
1.072559,1.425559,21.5078,3.49964,3.496861,0.1397877,-3.017732,-2.027343,2.23717
1.076743,1.429743,21.51633,3.452283,3.426839,0.4193665,-3.06506,-2.097282,2.23717
1.081551,1.434551,21.51883,3.552716,3.496861,0.6290568,-3.017732,-2.027343,2.23717
1.085767,1.438767,21.51031,3.527519,3.426839,0.8387555,-3.113239,-2.167225,2.23717
1.091166,1.444166,21.51847,3.582914,3.426839,1.048466,-3.113239,-2.167225,2.23717
1.095757,1.448757,21.5188,3.674056,3.426839,1.328101,-2.966337,-2.027343,2.167225
1.101793,1.454793,21.51162,3.754591,3.426839,1.537848,-2.966337,-2.027343,2.167225
1.107224,1.460224,21.51878,3.782654,3.356823,1.747616,-3.063458,-2.167225,2.167225
1.113047,1.466047,21.52354,3.910094,3.426839,1.887474,-2.964682,-2.097282,2.097282
1.118686,1.471686,21.51187,3.848967,3.356823,1.887474,-2.865901,-2.027343,2.027343
1.12481,1.47781,21.51413,3.659124,3.216805,1.747616,-2.915713,-2.097282,2.027343
1.130991,1.483991,21.52092,3.501122,3.146803,1.537848,-2.915713,-2.097282,2.027343
1.137672,1.490672,21.51974,3.323206,3.076806,1.25819,-2.867612,-2.097282,1.957407
1.143579,1.496579,21.51661,3.29486,3.146803,0.9785607,-2.718173,-1.887474,1.957407
1.149846,1.502846,21.51785,3.12701,3.076806,0.5591593,-2.816944,-2.027343,1.957407
1.155683,1.508683,21.52284,3.149894,3.146803,0.1397877,-2.816944,-2.027343,1.957407
1.162125,1.515125,21.52787,3.159148,3.146803,-0.2795763,-2.57144,-1.747616,1.887474
1.167672,1.520672,21.51933,3.253645,3.216805,-0.4892626,-2.619398,-1.817544,1.887474
1.174572,1.527572,21.52004,3.375156,3.286811,-0.7688549,-2.569533,-1.817544,1.817544
1.180827,1.533827,21.51731,3.40957,3.286811,-0.9086576,-2.470737,-1.747616,1.747616
1.187688,1.540688,21.51945,3.477089,3.356823,-0.9086576,-2.470737,-1.747616,1.747616
1.194444,1.547444,21.51482,3.497062,3.426839,-0.6989553,-2.374,-1.607768,1.747616
1.2009,1.5539,21.52596,3.600116,3.566888,-0.4892626,-2.421843,-1.677691,1.747616
1.207906,1.560906,21.52258,3.569612,3.566888,-0.1397877,-2.520622,-1.747616,1.817544
1.21505,1.56805,21.51848,3.647593,3.63692,0.2795763,-2.425885,-1.607768,1.817544
1.222634,1.575634,21.51964,3.771916,3.706957,0.6989553,-2.478657,-1.607768,1.887474
1.229806,1.582806,21.52224,3.851583,3.706957,1.048466,-2.630603,-1.677691,2.027343
1.237546,1.590546,21.51651,3.960442,3.706957,1.398015,-2.630603,-1.677691,2.027343
1.245598,1.598598,21.50709,4.126331,3.706957,1.817544,-2.675666,-1.747616,2.027343
1.254001,1.607001,21.50532,4.283936,3.777001,2.027343,-2.586644,-1.607768,2.027343
1.261778,1.614778,21.50256,4.29095,3.706957,2.167225,-2.577152,-1.677691,1.957407
1.269527,1.622527,21.51645,4.303657,3.63692,2.307119,-2.630603,-1.677691,2.027343
1.278154,1.631154,21.51268,4.207354,3.566888,2.23717,-2.816944,-1.957407,2.027343
1.287021,1.640021,21.51906,4.111159,3.496861,2.167225,-2.865901,-2.027343,2.027343
1.294941,1.647941,21.50526,4.015083,3.426839,2.097282,-2.964682,-2.097282,2.097282
1.30349,1.65649,21.5155,3.944165,3.426839,1.957407,-3.168435,-2.377071,2.097282
1.312204,1.665204,21.52114,3.782654,3.356823,1.747616,-3.116391,-2.307119,2.097282
1.32194,1.67494,21.51639,3.690858,3.356823,1.537848,-3.168435,-2.377071,2.097282
1.330497,1.683497,21.51932,3.543904,3.286811,1.328101,-3.215053,-2.377071,2.167225
1.339184,1.692184,21.51194,3.382677,3.216805,1.048466,-3.215053,-2.377071,2.167225
1.348896,1.701896,21.50993,3.274861,3.146803,0.9086576,-3.319641,-2.516986,2.167225
1.358733,1.711733,21.52562,3.154901,3.076806,0.6989553,-3.372896,-2.58695,2.167225
1.367748,1.720748,21.52075,3.195899,3.146803,0.5591593,-3.426752,-2.656917,2.167225
1.377026,1.730026,21.51993,3.18446,3.146803,0.4892626,-3.426752,-2.656917,2.167225
1.386318,1.739318,21.51847,3.253645,3.216805,0.4892626,-3.285008,-2.58695,2.027343
1.396898,1.749898,21.51972,3.322869,3.286811,0.4892626,-3.285008,-2.58695,2.027343
1.406768,1.759768,21.51745,3.322869,3.286811,0.4892626,-3.340294,-2.656917,2.027343
1.416937,1.769937,21.50946,3.382798,3.356823,0.4193665,-3.298436,-2.656917,1.957407
1.425781,1.778781,21.52024,3.382798,3.356823,0.4193665,-3.411998,-2.796863,1.957407
1.435987,1.788987,21.51175,3.39213,3.356823,0.4892626,-3.077845,-2.377071,1.957407
1.44605,1.79905,21.51609,3.471944,3.426839,0.5591593,-3.132104,-2.447027,1.957407
1.455915,1.808915,21.52184,3.552716,3.496861,0.6290568,-3.132104,-2.447027,1.957407
1.466107,1.819107,21.51515,3.565691,3.496861,0.6989553,-3.02423,-2.307119,1.957407
1.47624,1.82924,21.52508,3.565691,3.496861,0.6989553,-3.069861,-2.307119,2.027343
1.48634,1.83934,21.52477,3.648394,3.566888,0.7688549,-3.017732,-2.23717,2.027343
1.496846,1.849846,21.52695,3.663683,3.566888,0.8387555,-3.069861,-2.307119,2.027343
1.507224,1.860224,21.52161,3.612423,3.496861,0.9086576,-3.02423,-2.307119,1.957407
1.517582,1.870582,21.52434,3.698017,3.566888,0.9785607,-2.971295,-2.23717,1.957407
1.527715,1.880715,21.51844,3.649914,3.496861,1.048466,-2.971295,-2.23717,1.957407
1.538434,1.891434,21.52604,3.692296,3.496861,1.18828,-2.919076,-2.167225,1.957407
1.549148,1.902148,21.53697,3.71527,3.496861,1.25819,-2.867612,-2.097282,1.957407
1.560301,1.913301,21.51186,3.649484,3.426839,1.25819,-2.867612,-2.097282,1.957407
1.571699,1.924699,21.51732,3.583863,3.356823,1.25819,-2.865901,-2.027343,2.027343
1.582543,1.935543,21.51922,3.608886,3.356823,1.328101,-2.816944,-1.957407,2.027343
1.592984,1.945984,21.52244,3.543904,3.286811,1.328101,-2.820424,-1.887474,2.097282
1.604955,1.957955,21.52598,3.453148,3.216805,1.25819,-2.630603,-1.677691,2.027343
